t:      g:         g':       Integral:
26.6   -1.67253e-006   -3.96624e-009   9.99168
26.7   -1.66482e-006   1.55327e-007   9.99168
26.8   -1.64202e-006   2.97984e-007   9.99168
26.9   -1.60577e-006   4.24233e-007   9.99168
27   -1.55771e-006   5.34434e-007   9.99168
27.1   -1.4994e-006   6.29066e-007   9.99168
27.2   -1.43239e-006   7.08711e-007   9.99167
27.3   -1.35814e-006   7.74038e-007   9.99167
27.4   -1.27804e-006   8.25789e-007   9.99167
27.5   -1.19341e-006   8.64763e-007   9.99167
27.6   -1.10548e-006   8.91806e-007   9.99167
27.7   -1.01541e-006   9.07796e-007   9.99167
27.8   -9.24263e-007   9.13633e-007   9.99167
27.9   -8.32997e-007   9.10227e-007   9.99167
28   -7.42495e-007   8.9849e-007   9.99167
28.1   -6.53546e-007   8.79327e-007   9.99166
28.2   -5.66847e-007   8.53627e-007   9.99166
28.3   -4.8301e-007   8.22256e-007   9.99166
28.4   -4.02557e-007   7.86052e-007   9.99166
28.5   -3.25933e-007   7.45819e-007   9.99166
28.6   -2.53502e-007   7.02323e-007   9.99166
28.7   -1.85553e-007   6.56289e-007   9.99166
28.8   -1.22306e-007   6.08395e-007   9.99166
28.9   -6.3915e-008   5.59274e-007   9.99166
29   -1.04727e-008   5.0951e-007   9.99166
29.1   3.79834e-008   4.59636e-007   9.99166
29.2   8.14672e-008   4.10139e-007   9.99166
29.3   1.20038e-007   3.61452e-007   9.99166
29.4   1.53798e-007   3.13961e-007   9.99166
29.5   1.82882e-007   2.68005e-007   9.99166
29.6   2.0746e-007   2.23873e-007   9.99166
29.7   2.27726e-007   1.81813e-007   9.99166
29.8   2.43898e-007   1.42026e-007   9.99166
29.9   2.56212e-007   1.04675e-007   9.99166
30   2.64918e-007   6.98836e-008   9.99166
30.1   2.70277e-007   3.77382e-008   9.99166
30.2   2.72556e-007   8.29307e-009   9.99166
30.3   2.72027e-007   -1.84289e-008   9.99166
30.4   2.68961e-007   -4.24326e-008   9.99167
30.5   2.6363e-007   -6.37487e-008   9.99167
30.6   2.56299e-007   -8.24301e-008   9.99167
30.7   2.47229e-007   -9.855e-008   9.99167
30.8   2.36672e-007   -1.12199e-007   9.99167
30.9   2.24868e-007   -1.23482e-007   9.99167
31   2.1205e-007   -1.32517e-007   9.99167
31.1   1.98436e-007   -1.39433e-007   9.99167
31.2   1.8423e-007   -1.44364e-007   9.99167
31.3   1.69624e-007   -1.47454e-007   9.99167
31.4   1.54796e-007   -1.48848e-007   9.99167
31.5   1.39906e-007   -1.48693e-007   9.99167
31.6   1.25104e-007   -1.4714e-007   9.99167
31.7   1.1052e-007   -1.44335e-007   9.99167
31.8   9.62734e-008   -1.40425e-007   9.99167
31.9   8.24672e-008   -1.35552e-007   9.99167
32   6.91906e-008   -1.29853e-007   9.99167
32.1   5.65196e-008   -1.23462e-007   9.99167
32.2   4.4517e-008   -1.16506e-007   9.99167
32.3   3.32333e-008   -1.09103e-007   9.99167
32.4   2.27074e-008   -1.01368e-007   9.99167
32.5   1.29672e-008   -9.34051e-008   9.99167
32.6   4.03069e-009   -8.53117e-008   9.99167
32.7   -4.09375e-009   -7.71773e-008   9.99167
32.8   -1.14061e-008   -6.90832e-008   9.99167
32.9   -1.79142e-008   -6.11025e-008   9.99167
33   -2.36326e-008   -5.33002e-008   9.99167
33.1   -2.85821e-008   -4.57337e-008   9.99167
33.2   -3.27889e-008   -3.84523e-008   9.99167
33.3   -3.62835e-008   -3.14983e-008   9.99167
33.4   -3.91006e-008   -2.49065e-008   9.99167
33.5   -4.12778e-008   -1.87051e-008   9.99167
33.6   -4.28554e-008   -1.29161e-008   9.99167
33.7   -4.38753e-008   -7.55515e-009   9.99167
33.8   -4.4381e-008   -2.63252e-009   9.99167
